correct_red,correct_green,correct_blue,rotten_red,rotten_green,rotten_blue,len_correct_part,len_rotten_part,class_fruit
109.71262270997954,78.79616086001634,46.70589795680411,182.50507499635228,156.47132209846978,90.80926375064182,1410837,1226204,C
110.29717074991817,78.891326763118,47.048152833983565,182.82083598088693,156.98450801019146,92.34597908890433,1419764,1220487,C
123.44170930619487,89.0233592288703,53.317812841781326,195.00142671077597,168.72364467303936,100.17522398569866,1716618,1522406,C
115.15958800621358,79.92912904400359,41.171342719400855,200.0522731814931,167.4286564200595,99.13673378548478,1655300,976053,C
113.41755896511545,78.91793378509001,40.68576751912988,195.81575702428367,163.603873304976,96.2256836262952,1647220,975806,C
113.84907806512436,79.210219951824,41.06788789382905,196.4960832022814,164.67512327345182,97.35522042458145,1629845,977988,C
115.25608975974211,80.37414738322427,41.5023878157204,202.5608650845518,170.31726226626637,102.63704394549744,1627538,974201,C
115.33512445056877,80.82716395399763,42.58351444258399,199.22839545471567,167.3065518855027,99.84443152542818,1630220,948255,C
127.14453572159465,89.56053296916444,47.359804666574874,201.68736521724435,182.23489525494614,128.49747330199193,1418985,769307,C
124.8997465365272,88.17049124707495,45.836755740622365,200.4699376507974,181.7283729542701,127.37483466562516,1399108,770261,C
122.6070135375571,85.26120704301086,44.068166888204075,196.85788912590974,177.79876402334622,124.14728090594791,1367830,760469,C
121.91144806698863,84.67830685717989,43.62367840159296,196.57708471700636,177.88834605456995,125.02708932894639,1389939,747205,C
120.37706971592777,84.00805271548953,43.657609669011194,194.8010280867083,176.4247654233071,123.73733530531248,1392393,733327,C
119.51199293264492,80.66552000915951,50.49947041727509,193.84217599818783,181.33749901263843,119.48439951264805,2269196,1247651,C
120.43153088888462,81.64434576268239,50.780662534545556,194.4775281676971,181.5942114438729,118.34130169241871,2268674,1228010,C
119.84769994348795,81.20243108496973,50.597529017923904,196.12836959031324,181.39556625871393,113.56005297255939,2244669,1172369,C
123.05648591148712,83.05543498996715,50.200358754164704,201.70706195617052,188.20282246567504,120.60229985417743,2195343,1172619,C
116.28639858053337,73.03027842262568,38.67302070286204,179.5725408988704,161.47478226694759,100.51816223309424,1815901,1256800,C
116.29395591042844,73.13523227156782,38.48241819101887,179.39017560857226,161.39833770223615,99.87237113744021,1799324,1242842,C
116.19621709935433,73.32123405441472,38.74682334559006,179.33909350918088,161.35637242894165,100.0135979839401,1794424,1235263,C
126.26032331729643,90.75854130479638,54.73580754646315,185.0891922228868,166.981179625094,109.1224178750492,2224063,887579,C
126.35527280586109,90.97737661870434,55.070935204436175,186.14480951792518,168.01791551016413,110.88068830196897,2232738,874641,C
126.01219470955213,88.66318711466846,49.480868544674664,186.26964876140926,160.2786592851122,119.17399928587912,2112473,971186,C
126.61780993153046,89.36077143400088,49.40151997864503,187.84229548837152,161.55637724293823,120.5521554987936,2155575,911176,C
109.05365883139658,71.39663865219833,39.668487798738596,176.4759760466674,144.8711439477562,107.61307056555925,1579577,576132,C
111.79880066290931,73.08077664505538,40.30098367129796,177.08827259123032,145.2104488323729,108.04374338133937,1575628,591563,C
113.7608571723395,74.34350300111802,40.21381228321539,177.7386789153428,145.9785592225163,107.06143466630544,1549612,601096,C
133.1523750512981,57.91532372531759,51.77495791449748,186.36551786262586,111.43603589927207,104.8724695929063,1268856,721475,C
135.2941080657663,58.77897271491914,52.22107600256754,187.22441394794987,111.64412175008025,104.52040913898485,1253372,720631,C
134.4504545838997,57.00359174308312,51.01132391980571,186.3069221231247,109.61866895988507,103.42100509339093,1149385,715115,C
133.7851082057549,58.55737492929781,52.265077426845586,182.91086284597205,109.06785532540535,102.94328278328362,1129745,650291,C
134.1189465851961,59.60667079871291,52.4492521205348,184.27191451405616,110.533924043021,102.5971002424608,1071373,614644,C
134.79756231520952,62.06173141580261,55.20394372847922,183.47040324204227,112.62965014470137,106.08639783876083,1157746,598294,C
135.4547679785771,64.73430683712373,57.96298726107047,180.30670272919022,114.05393488278385,110.29604760000764,1312301,527958,C
